Fecha,Demanda_Llano,Demanda_Punta,Demanda_Valle,PVPC_Llano,PVPC_Punta,PVPC_Valle,Pai Gasolina 95 E5,Pvp Gasolina 95 E5,Pai Gasolina 98 E5,Pvp Gasolina 98 E5,Pai Gasóleo A habitual,Pvp Gasóleo A habitual,Pai Gasóleo Premium,Pvp Gasóleo Premium
2022-10-01,24323.513,24323.513,24323.513,216.937627008375,216.937627008375,216.937627008375,0.943,1.669,1.043,1.837,1.138,1.795,1.212,1.883
2022-10-02,22691.646,22691.646,22691.646,238.56157670883331,238.56157670883331,238.56157670883331,0.943,1.67,1.043,1.836,1.138,1.795,1.212,1.883
2022-10-03,29573.196,31173.437,25146.725,351.28271408414287,432.64976137033335,319.0789464359286,0.944,1.67,1.043,1.836,1.138,1.795,1.213,1.884
2022-10-04,30106.177,31426.656,26395.682,371.3241988121429,494.45237051033337,362.2893199306428,0.945,1.672,1.043,1.836,1.139,1.796,1.213,1.884
2022-10-05,29999.78,31309.654,26446.464,337.91341067542857,453.17333237966665,359.98767664099995,0.952,1.68,1.05,1.844,1.145,1.803,1.219,1.891
2022-10-06,30288.179,31420.275,26799.194,284.97770125842857,410.5836630383333,220.56191748592855,0.961,1.691,1.059,1.855,1.158,1.819,1.233,1.908
2022-10-07,29914.495,30509.848,26526.171,333.93340844342856,436.8949428743333,302.5143140530714,0.972,1.704,1.072,1.871,1.178,1.842,1.255,1.934
2022-10-08,24818.207,24818.207,24818.207,238.95384541670833,238.95384541670833,238.95384541670833,0.976,1.709,1.073,1.873,1.191,1.859,1.268,1.95
2022-10-09,22796.386,22796.386,22796.386,224.12399012216667,224.12399012216667,224.12399012216667,0.983,1.718,1.083,1.884,1.206,1.876,1.286,1.972
2022-10-10,29672.0,30859.899,25083.052,345.9807778812857,437.73846822033335,273.40662099807145,0.993,1.729,1.09,1.893,1.225,1.9,1.303,1.992
2022-10-11,29551.417,30278.147,26001.993,334.81294049214284,407.2515236803333,300.7294920235,1.0,1.737,1.096,1.9,1.24,1.917,1.316,2.008
2022-10-12,24701.734,25882.887,22502.928,244.60595029799998,299.329281324,272.15402631464286,1.001,1.739,1.096,1.9,1.243,1.92,1.318,2.01
2022-10-13,29259.682,30928.447,24962.043,304.6323491184286,382.78321260166666,284.91572207092855,1.002,1.741,1.097,1.902,1.247,1.925,1.321,2.014
2022-10-14,29355.398,30466.377,25873.82,293.0918062177143,388.17387423099996,259.2579651230714,1.004,1.743,1.102,1.907,1.254,1.934,1.331,2.025
2022-10-15,24116.96,24116.96,24116.96,201.833728173375,201.833728173375,201.833728173375,1.009,1.749,1.105,1.912,1.259,1.94,1.334,2.03
2022-10-16,22705.278,22705.278,22705.278,154.80143088883332,154.80143088883332,154.80143088883332,1.008,1.748,1.103,1.909,1.26,1.941,1.336,2.031
