Lag,Autocorrelation,Date,Is_Weekend,Significant
1,0.6842029491527031,2024-08-30,False,True
2,0.4301769934826076,2024-08-29,False,True
3,0.36270820076485805,2024-08-28,False,True
4,0.33343391011734647,2024-08-27,False,True
5,0.30430760415636166,2024-08-26,False,True
6,0.5069911599018282,2024-08-25,True,True
7,0.6854504177728036,2024-08-24,True,True
8,0.47736582576699677,2024-08-23,False,True
9,0.27385146122712495,2024-08-22,False,True
10,0.24631906764762737,2024-08-21,False,True
11,0.20481651059856673,2024-08-20,False,True
13,0.3446960962575969,2024-08-18,True,True
14,0.5183394006821126,2024-08-17,True,True
15,0.3336295383846784,2024-08-16,False,True
20,0.29226876157263015,2024-08-11,True,True
21,0.47871215404154077,2024-08-10,True,True
22,0.291451310272264,2024-08-09,False,True
27,0.2759913488851846,2024-08-04,True,True
28,0.4507112192175045,2024-08-03,True,True
29,0.2765630595052248,2024-08-02,False,True
34,0.26253583298106975,2024-07-28,True,True
35,0.4295960556082944,2024-07-27,True,True
36,0.23993892585286128,2024-07-26,False,True
41,0.21631923079033105,2024-07-21,True,True
42,0.3731323837578445,2024-07-20,True,True
48,0.20251243082431197,2024-07-14,True,True
49,0.39613539359487987,2024-07-13,True,True
50,0.24290321882131,2024-07-12,False,True
55,0.2803932794159454,2024-07-07,True,True
56,0.462868995950096,2024-07-06,True,True
57,0.31130914761569917,2024-07-05,False,True
62,0.3246319512803654,2024-06-30,True,True
63,0.4933452243819739,2024-06-29,True,True
64,0.3265456669307736,2024-06-28,False,True
69,0.2597873200271004,2024-06-23,True,True
70,0.41155294191090075,2024-06-22,True,True
71,0.23996573354886072,2024-06-21,False,True
76,0.21697719742405963,2024-06-16,True,True
77,0.37659325536967747,2024-06-15,True,True
78,0.20270478172358566,2024-06-14,False,True
84,0.35838379475199444,2024-06-08,True,True
91,0.3653988192484466,2024-06-01,True,True
98,0.298909196933405,2024-05-25,True,True
