Fecha,Pai Gasolina 95 E5,Pvp Gasolina 95 E5,Pai Gasolina 98 E5,Pvp Gasolina 98 E5,Pai Gasóleo A habitual,Pvp Gasóleo A habitual,Pai Gasóleo Premium,Pvp Gasóleo Premium
2022-10-01,0.943,1.669,1.043,1.837,1.138,1.795,1.212,1.883
2022-10-02,0.943,1.67,1.043,1.836,1.138,1.795,1.212,1.883
2022-10-03,0.944,1.67,1.043,1.836,1.138,1.795,1.213,1.884
2022-10-04,0.945,1.672,1.043,1.836,1.139,1.796,1.213,1.884
2022-10-05,0.952,1.68,1.05,1.844,1.145,1.803,1.219,1.891
2022-10-06,0.961,1.691,1.059,1.855,1.158,1.819,1.233,1.908
2022-10-07,0.972,1.704,1.072,1.871,1.178,1.842,1.255,1.934
2022-10-08,0.976,1.709,1.073,1.873,1.191,1.859,1.268,1.95
2022-10-09,0.983,1.718,1.083,1.884,1.206,1.876,1.286,1.972
2022-10-10,0.993,1.729,1.09,1.893,1.225,1.9,1.303,1.992
2022-10-11,1.0,1.737,1.096,1.9,1.24,1.917,1.316,2.008
2022-10-12,1.001,1.739,1.096,1.9,1.243,1.92,1.318,2.01
2022-10-13,1.002,1.741,1.097,1.902,1.247,1.925,1.321,2.014
2022-10-14,1.004,1.743,1.102,1.907,1.254,1.934,1.331,2.025
2022-10-15,1.009,1.749,1.105,1.912,1.259,1.94,1.334,2.03
2022-10-16,1.008,1.748,1.103,1.909,1.26,1.941,1.336,2.031
2022-10-17,1.01,1.75,1.105,1.911,1.265,1.947,1.339,2.036
2022-10-18,1.012,1.752,1.106,1.912,1.267,1.949,1.341,2.037
2022-10-19,1.013,1.754,1.107,1.914,1.271,1.954,1.345,2.043
2022-10-20,1.011,1.751,1.105,1.911,1.272,1.955,1.346,2.044
2022-10-21,1.012,1.753,1.109,1.916,1.273,1.956,1.349,2.047
2022-10-22,1.012,1.753,1.107,1.913,1.272,1.955,1.346,2.044
2022-10-23,1.012,1.752,1.106,1.913,1.272,1.956,1.346,2.044
2022-10-24,1.012,1.752,1.106,1.912,1.272,1.955,1.346,2.044
2022-10-25,1.011,1.751,1.105,1.911,1.271,1.954,1.345,2.043
2022-10-26,1.01,1.75,1.104,1.91,1.27,1.954,1.345,2.043
2022-10-27,1.009,1.749,1.104,1.909,1.269,1.953,1.345,2.043
2022-10-28,1.009,1.749,1.107,1.913,1.269,1.952,1.347,2.045
