Fecha,Real_Llano,Real_Punta,Real_Valle,Prevista_Llano,Prevista_Punta,Prevista_Valle,Programada_Llano,Programada_Punta,Programada_Valle
2022-10-01,24323.513,24323.513,24323.513,24341.55,24341.55,24341.55,24347.205,24347.205,24347.205
2022-10-02,22691.646,22691.646,22691.646,22705.892,22705.892,22705.892,22683.682,22683.682,22683.682
2022-10-03,29573.196,31173.437,25146.725,29700.682,31032.725,25064.372,29557.442,31184.978,25185.401
2022-10-04,30106.177,31426.656,26395.682,30031.165,31500.473,26388.729,30008.665,31498.971,26421.755
2022-10-05,29999.78,31309.654,26446.464,29980.881,31290.09,26374.026,30089.038,31416.007,26517.363
2022-10-06,30288.179,31420.275,26799.194,30169.106,31462.013,26624.693,30207.424,31604.978,26870.788
2022-10-07,29914.495,30509.848,26526.171,29821.079,30512.193,26459.964,29850.79,30693.401,26654.916
2022-10-08,24818.207,24818.207,24818.207,24832.816,24832.816,24832.816,24809.165,24809.165,24809.165
2022-10-09,22796.386,22796.386,22796.386,22823.851,22823.851,22823.851,22817.462,22817.462,22817.462
2022-10-10,29672.0,30859.899,25083.052,29495.045,30804.748,25108.341,29703.906,30871.828,25119.467
2022-10-11,29551.417,30278.147,26001.993,29503.921,30275.695,25952.992,29573.162,30284.797,25991.675
2022-10-12,24701.734,25882.887,22502.928,24698.723,26124.567,22532.503,24672.009,25931.356,22483.733
2022-10-13,29259.682,30928.447,24962.043,29131.113,30632.148,24910.098,29167.96,30678.464,24979.442
2022-10-14,29355.398,30466.377,25873.82,29297.839,30591.356,25895.624,29324.469,30667.41,25886.349
2022-10-15,24116.96,24116.96,24116.96,24090.865,24090.865,24090.865,24100.723,24100.723,24100.723
2022-10-16,22705.278,22705.278,22705.278,22717.15,22717.15,22717.15,22735.016,22735.016,22735.016
2022-10-17,29657.389,31142.304,25093.174,29575.52,31076.098,25043.477,29595.209,31167.75,25031.568
2022-10-18,29996.781,31728.319,26363.386,29881.699,31557.881,26287.438,29991.995,31600.971,26360.765
2022-10-19,30723.347,32070.28,26977.515,30474.061,31872.368,26780.351,30715.792,32045.794,26932.227
2022-10-20,30974.476,32208.382,27044.917,30776.715,31996.209,26987.27,30942.232,32142.582,27077.066
2022-10-21,30093.939,30759.572,26831.78,30086.66,30817.165,26614.651,30153.595,30836.957,26839.187
2022-10-22,24647.199,24647.199,24647.199,24669.587,24669.587,24669.587,24607.756,24607.756,24607.756
2022-10-23,23130.214,23130.214,23130.214,22979.843,22979.843,22979.843,22983.683,22983.683,22983.683
2022-10-24,29407.943,31378.083,25086.446,29461.837,31177.802,24967.311,29472.544,31238.802,25087.914
2022-10-25,29918.215,31729.61,26110.56,29733.127,31634.146,26127.01,29760.012,31702.348,26114.221
2022-10-26,30003.018,31856.59,26401.609,30035.589,31801.08,26325.954,29967.42,32027.191,26425.606
2022-10-27,29742.877,31518.132,26228.293,29811.38,31692.34,26182.585,29609.503,31580.927,26193.736
2022-10-28,29153.775,30303.027,25986.148,29157.535,30480.91,25982.437,29110.371,30400.337,25977.073
2022-10-29,24154.95,24154.95,24154.95,24161.827,24161.827,24161.827,24110.843,24110.843,24110.843
2022-10-30,22401.991,22401.991,22401.991,22413.271,22413.271,22413.271,22396.646,22396.646,22396.646
2022-10-31,26715.387,28360.146,22966.449,26438.476,28225.455,22969.247,26552.732,28318.406,22905.344
2022-11-01,23664.254,26484.473,21382.811,23730.744,26384.099,21473.693,23637.93,26386.984,21351.372
2022-11-02,28537.438,31372.684,24654.19,28482.297,31378.622,24456.992,28470.574,31476.191,24582.94
2022-11-03,29362.93,31343.258,25816.429,29176.005,31395.683,25778.083,29305.102,31346.034,25849.826
2022-11-04,29131.347,30889.171,25785.125,29067.996,30722.875,25632.799,29030.873,30903.548,25806.557
2022-11-05,24041.578,24041.578,24041.578,24116.431,24116.431,24116.431,24107.876,24107.876,24107.876
2022-11-06,22342.728,22342.728,22342.728,22335.885,22335.885,22335.885,22373.694,22373.694,22373.694
2022-11-07,28932.937,31865.783,24526.392,28755.863,31487.161,24389.024,28854.801,31780.616,24523.134
2022-11-08,29839.483,32093.639,26219.199,29636.734,32157.564,26025.412,29850.724,32129.784,26228.572
2022-11-09,29617.574,31621.551,25924.962,29377.852,31640.207,25828.925,29519.685,31609.682,25971.7
2022-11-10,29428.46,31726.226,26117.99,29695.675,31476.925,26040.232,29673.856,31851.661,26134.232
2022-11-11,29768.774,31309.889,26346.123,29445.908,31432.284,26275.51,29690.699,31253.206,26336.719
2022-11-12,24817.081,24817.081,24817.081,24733.343,24733.343,24733.343,24806.949,24806.949,24806.949
2022-11-13,22787.327,22787.327,22787.327,22782.911,22782.911,22782.911,22778.223,22778.223,22778.223
2022-11-14,29831.513,32289.341,25162.19,29612.687,32040.396,25028.288,29765.55,32323.202,25176.61
2022-11-15,30386.628,32477.911,26469.706,30133.311,32376.993,26374.305,30281.131,32348.451,26417.342
2022-11-16,30653.444,32768.245,26757.361,30485.7,32633.132,26666.528,30508.058,32649.143,26754.449
2022-11-17,30496.502,32713.882,26801.179,30336.491,32582.036,26689.125,30452.352,32704.151,26810.662
2022-11-18,30438.267,31713.798,26657.693,30411.642,31744.456,26742.104,30371.543,31712.275,26710.383
2022-11-19,25495.939,25495.939,25495.939,25401.609,25401.609,25401.609,25413.639,25413.639,25413.639
2022-11-20,23657.06,23657.06,23657.06,23608.917,23608.917,23608.917,23574.516,23574.516,23574.516
2022-11-21,31731.25,33991.709,26304.435,31359.594,33763.229,26190.863,31560.186,33919.468,26218.773
2022-11-22,32441.223,34830.92,27740.817,32250.016,34627.174,27576.362,32351.983,34823.448,27699.731
2022-11-23,31573.692,33489.077,27626.397,31583.292,33474.667,27576.816,31567.825,33662.98,27567.736
2022-11-24,31543.25,33404.698,27391.247,31316.864,33634.397,27339.584,31479.959,33466.742,27430.08
2022-11-25,30562.809,32290.621,26887.147,30603.36,32121.046,26831.296,30556.107,32411.56,26939.007
2022-11-26,25840.923,25840.923,25840.923,25758.642,25758.642,25758.642,25836.341,25836.341,25836.341
2022-11-27,24480.537,24480.537,24480.537,24322.16,24322.16,24322.16,24376.812,24376.812,24376.812
2022-11-28,31838.743,34590.084,26356.503,31807.034,34238.138,26267.546,31874.242,34450.338,26339.769
2022-11-29,32275.939,34797.331,27792.097,32272.532,34789.269,27730.767,32264.67,34732.069,27889.542
2022-11-30,32740.304,35239.812,28292.207,32756.746,35339.742,28172.185,32753.181,35300.55,28296.253
2022-12-01,33019.409,35672.278,28459.381,32985.338,35587.158,28456.871,32921.047,35636.064,28529.669
2022-12-02,33269.998,34842.035,28528.311,33160.681,34836.47,28493.674,33287.492,34891.716,28592.82
2022-12-03,27731.585,27731.585,27731.585,27709.185,27709.185,27709.185,27818.498,27818.498,27818.498
2022-12-04,25882.156,25882.156,25882.156,25846.035,25846.035,25846.035,25952.31,25952.31,25952.31
2022-12-05,32592.599,34095.472,27169.853,32545.026,34139.311,27119.137,32534.459,34103.899,27188.717
2022-12-06,29035.01,30846.622,25403.754,28883.431,31015.767,25481.793,29095.93,30927.487,25414.625
2022-12-07,31773.607,33282.322,26938.98,31601.91,33352.731,26927.532,31765.848,33408.769,26970.4
2022-12-08,28508.954,30208.847,24892.908,28089.391,30362.186,24953.314,28568.648,30566.745,24985.719
2022-12-09,30654.291,32227.268,25990.826,30627.073,32019.408,26036.624,30641.296,32252.339,26063.827
2022-12-10,26201.447,26201.447,26201.447,26213.711,26213.711,26213.711,26186.237,26186.237,26186.237
2022-12-11,25655.9,25655.9,25655.9,25575.23,25575.23,25575.23,25745.574,25745.574,25745.574
2022-12-12,33767.22,35874.003,27661.406,33445.688,35644.755,27513.965,33552.63,36006.614,27679.056
2022-12-13,33399.148,35151.002,28626.402,33238.83,34913.434,28581.677,33126.783,35150.367,28563.175
2022-12-14,32420.955,34679.074,28261.374,32503.862,34536.935,28146.206,32365.7,34693.23,28085.178
2022-12-15,32207.273,34200.714,27789.479,32088.609,34152.698,27737.785,32139.582,34170.988,27768.044
2022-12-16,32313.356,33720.127,27966.976,32342.881,33721.462,27873.648,32326.599,33857.876,27926.819
2022-12-17,26521.744,26521.744,26521.744,26629.575,26629.575,26629.575,26624.546,26624.546,26624.546
2022-12-18,25085.456,25085.456,25085.456,25079.91,25079.91,25079.91,25042.758,25042.758,25042.758
2022-12-19,32892.691,35496.558,27142.015,32672.486,35396.368,27056.373,32840.562,35509.888,27128.548
2022-12-20,32944.234,35105.938,28315.019,32921.063,35068.212,28197.298,32873.022,35096.654,28317.297
2022-12-21,32231.28,34086.319,27703.994,32213.384,34214.556,27702.265,32137.916,34153.972,27734.288
2022-12-22,31431.066,33143.196,27071.398,31430.146,33263.223,27182.208,31198.822,33034.269,27020.934
2022-12-23,29616.306,30898.095,26084.399,29890.846,31157.425,26167.543,29470.952,30978.456,25996.239
2022-12-24,23630.682,23630.682,23630.682,23582.771,23582.771,23582.771,23529.405,23529.405,23529.405
2022-12-25,20692.75,20692.75,20692.75,20883.76,20883.76,20883.76,20511.316,20511.316,20511.316
2022-12-26,24521.525,27070.101,20564.559,24346.223,27197.463,20561.788,24517.15,27166.754,20423.469
2022-12-27,27970.899,30420.453,23261.323,27788.468,30476.057,23140.326,27960.043,30322.878,23127.804
2022-12-28,28539.259,31101.149,24248.484,28442.923,30922.078,24177.374,28377.53,31155.867,24226.333
2022-12-29,29152.826,31346.708,24597.532,29008.558,31085.068,24527.15,29125.509,31184.593,24560.78
2022-12-30,28292.375,30052.945,24279.759,28237.392,29751.381,24256.92,28223.821,29986.94,24198.749
2022-12-31,23542.475,23542.475,23542.475,23432.257,23432.257,23432.257,23471.045,23471.045,23471.045
2023-01-01,21021.384,21021.384,21021.384,21035.485,21035.485,21035.485,21021.095,21021.095,21021.095
2023-01-02,28817.867,30907.556,23357.13,28848.174,31130.302,23317.03,28715.488,30971.062,23315.5
2023-01-03,30880.978,33206.952,25665.501,30675.123,32734.029,25688.85,30782.26,32922.656,25636.071
2023-01-04,31195.606,33267.255,26417.646,31096.574,33005.442,26445.239,31183.318,33366.266,26458.227
